,cell_type,attention_model,window_source_size,hs,MAE,MAPE,SMAPE,RMSE
0,lstm,['BA'],336,12,632.1592543255963,26.819252962340677,26.819252962340677,791.9046020507812
1,rnn,['BA'],336,12,521.5234752445047,21.50595688783743,21.50595688783743,632.0825805664062
2,gru,['BA'],336,12,596.7772614674122,26.319608406680384,26.319608406680384,747.11767578125
3,lstm,['BA'],168,12,508.3114895562136,23.202794776135647,23.202794776135647,644.9387817382812
4,rnn,['BA'],168,12,628.063617466034,32.54824787467256,32.54824787467256,835.84521484375
5,gru,['BA'],168,12,578.7285713500399,31.71370439483205,31.71370439483205,756.6380615234375
6,lstm,['BA'],96,12,508.9204127499735,22.0562884436578,22.0562884436578,642.21728515625
7,rnn,['BA'],96,12,492.05230911649306,23.03614623476985,23.03614623476985,630.2200317382812
8,gru,['BA'],96,12,490.16639765478266,24.30825995795845,24.30825995795845,653.599609375
9,lstm,['BA'],48,12,423.5280385005456,18.431335637711204,18.431335637711204,554.0438842773438
10,rnn,['BA'],48,12,414.56593379582773,20.418949049600748,20.418949049600748,545.2174682617188
11,gru,['BA'],48,12,434.47960327853946,20.009670821596732,20.009670821596732,594.0928344726562
12,lstm,['BA'],336,24,625.6927144448091,25.308716071516436,25.308716071516436,772.384033203125
13,rnn,['BA'],336,24,951.7425753388779,57.61152152264436,57.61152152264436,1135.702880859375
14,gru,['BA'],336,24,663.843485938407,34.7752663012904,34.7752663012904,843.4404907226562
15,lstm,['BA'],168,24,522.017328008935,22.112929361773556,22.112929361773556,679.1690063476562
16,rnn,['BA'],168,24,673.6407201993775,31.39051883111938,31.39051883111938,925.03369140625
17,gru,['BA'],168,24,496.6995191257354,24.674471984476074,24.674471984476074,654.7493896484375
18,lstm,['BA'],96,24,524.5231718729428,22.010506538376266,22.010506538376266,671.466796875
19,rnn,['BA'],96,24,578.2310446194447,26.4510145850615,26.4510145850615,752.1629028320312
20,gru,['BA'],96,24,471.425152317981,20.487819435223997,20.487819435223997,604.6046752929688
21,lstm,['BA'],48,24,427.42011743156166,19.337833820944315,19.337833820944315,558.6490478515625
22,rnn,['BA'],48,24,430.7119319548374,18.78721185049909,18.78721185049909,537.6448364257812
23,gru,['BA'],48,24,430.88887185147837,19.885299556318312,19.885299556318312,588.713134765625
24,lstm,['BA'],336,48,534.8725809432509,22.472815243537784,22.472815243537784,661.686767578125
25,rnn,['BA'],336,48,617.5840443996972,25.851346865884317,25.851346865884317,763.1822509765625
26,gru,['BA'],336,48,510.76566486492453,21.603018701002185,21.603018701002185,630.8854370117188
27,lstm,['BA'],168,48,484.6181322900959,20.873187570653624,20.873187570653624,626.3129272460938
28,rnn,['BA'],168,48,520.4312206282096,22.504699797508074,22.504699797508074,693.6912231445312
29,gru,['BA'],168,48,477.56333132796186,20.479337670549757,20.479337670549757,605.6456909179688
30,lstm,['BA'],96,48,449.6184508250682,19.981704918987326,19.981704918987326,574.0699462890625
31,rnn,['BA'],96,48,499.4197505664777,22.02400465884881,22.02400465884881,653.1920166015625
32,gru,['BA'],96,48,436.00265827459305,18.81348314034233,18.81348314034233,555.0364990234375
33,lstm,['BA'],48,48,418.03752084718366,18.66074416023648,18.66074416023648,540.4752197265625
34,rnn,['BA'],48,48,445.3931365232001,19.270923484704845,19.270923484704845,562.3959350585938
35,gru,['BA'],48,48,411.06056454734437,18.148831593902333,18.148831593902333,535.017333984375
